level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
layer,salience_readout,injected-control,13,moy,39.0,0.010409049689769745,0.009406727738678455,0.011661963537335396,0.892564058303833,33.0,6.0,1.429926123819314e-05,1.723052264424041e-06,0.0001999600079984003,0.0001999600079984003,0.0003999200159968006
layer,salience_readout,injected-control,14,moy,39.0,0.010457576252520084,0.009944283403456211,0.015340469777584076,0.6816985607147217,31.0,8.0,0.0002940768754342571,0.00013767225027550012,0.0003999200159968006,0.0013997200559888023,0.0007109689173276456
layer,salience_readout,injected-control,15,moy,39.0,0.005018997937440872,0.0059153130277991295,0.01148910541087389,0.4368484616279602,27.0,12.0,0.023702702470473014,0.010195096023380756,0.009198160367926415,0.05038992201559688,0.01051218327763019
head,fiedler_value,injected-control,0,0,39.0,2.794330612232443e-05,0.00031683221459388733,0.0021826582960784435,0.012802419252693653,25.0,14.0,0.10812902140605732,0.3153834044933319,0.9468106378724255,1.0,0.9857922938738825
head,fiedler_value,injected-control,0,1,39.0,0.0019104813691228628,-5.300343036651611e-05,0.008003772236406803,0.2386976182460785,19.0,20.0,1.0,0.5853923559188843,0.1347730453909218,1.0,0.30398149445000866
head,fiedler_value,injected-control,0,2,39.0,-9.335100185126066e-05,5.2303075790405273e-05,0.001196695608086884,-0.07800731062889099,25.0,14.0,0.10812902140605732,0.24127641320228577,0.787242551489702,1.0,0.8977019740817983
head,fiedler_value,injected-control,0,3,39.0,-0.004229231271892786,4.813075065612793e-06,0.025325292721390724,-0.16699634492397308,20.0,19.0,1.0,0.5027256011962891,0.3143371325734853,1.0,0.5141872583949664
head,fiedler_value,injected-control,0,4,39.0,-0.028942355886101723,-0.004208683967590332,0.0532979778945446,-0.5430291295051575,10.0,29.0,0.0033778479119064286,0.00014731190458405763,0.0001999600079984003,0.21855628874225155,0.0034126508031726986
head,fiedler_value,injected-control,0,5,39.0,0.000672892143484205,0.0001093447208404541,0.005358880385756493,0.1255658119916916,23.0,16.0,0.3367836351899315,0.6536581516265869,0.5096980603879224,1.0,0.6959077517829767
head,fiedler_value,injected-control,0,6,39.0,-0.0002017082297243178,-2.5212764739990234e-05,0.003122345544397831,-0.06460151076316833,19.0,20.0,1.0,0.8957254886627197,0.7030593881223756,1.0,0.8430126621045815
head,fiedler_value,injected-control,0,7,39.0,-0.0018287599086761475,-0.0002664625644683838,0.010769936256110668,-0.16980229318141937,19.0,20.0,1.0,0.4265386164188385,0.3021395720855829,1.0,0.500632559572228
head,fiedler_value,injected-control,0,8,39.0,-0.003178998362272978,-0.0023680925369262695,0.009099899791181087,-0.34934431314468384,13.0,26.0,0.05325191409792752,0.010643251240253448,0.026994601079784044,0.9994001199760048,0.09275997149563377
head,fiedler_value,injected-control,0,9,39.0,0.00031558520277030766,0.00029969215393066406,0.0006653408636339009,0.4743210971355438,30.0,9.0,0.0010650196345523,0.0009425950120203197,0.0057988402319536095,0.585882823435313,0.02939610097782424
head,fiedler_value,injected-control,0,10,39.0,-0.0015150239923968911,-0.0007064342498779297,0.01083637960255146,-0.13980905711650848,14.0,25.0,0.10812902140605732,0.049145616590976715,0.4013197360527894,1.0,0.6035630083285669
